input,target,gpt_prediction,mixed_model_prediction,gpt_smooth_bleu_score,mixed_model_smooth_bleu_score,,,,,,,,,,
"summarize: def __window_ss_fill(x, win_sq, n_frames, hop_length):  # pragma: no cover
    ''''''

    n = len(x)
    n_fft = len(win_sq)
    for i in range(n_frames):
        sample = i * hop_length
        x[sample:min(n, sample + n_fft)] += win_sq[:max(0, min(n_fft, n - sample))]",Helper function for window sum-square calculation.,"return n_fft, sample Create a Windows function for a single hop like a specified function.",return win_sq[:n] Set the sum of the Window in a pdframe.,26.79037522,21.62183778,24.2061065,,,,,,,,,
"summarize: def writeCmdMsg(self, msg):
        """""" 
        """"""
        ekm_log(""(writeCmdMsg | "" + self.getContext() + "") "" + msg)
        self.m_command_msg = msg",Internal method to set the command result string.,self.m_command_msg = msg Writes the CmdMsg to the CmdMsg.,"self.cmdMsg.write(""CommandMsg | "" + str(msg)) Write a command msg.",26.81292461,21.57594989,24.19443725,,,,,,,,,
"summarize: def paragraphs(quantity=2, separator='\n\n', wrap_start='', wrap_end='',
               html=False, sentences_quantity=3, as_list=False):
    """"""""""""
    if html:
        wrap_start = '<p>'
        wrap_end = '</p>'
        separator = '\n\n'

    result = []
    for i in xrange(0, quantity):
        result.append(wrap_start + sentences(sentences_quantity) + wrap_end)

    if as_list:
        return result
    else:
        return separator.join(result)",Random paragraphs.,Paragraphic addresses a list of quantitys.,Gets the number of ``SAMENTION`.,19.70490382,28.60101365,24.15295874,,,,,,,,,
"summarize: def _check_graphviz_available(output_format):
    """"""""""""
    try:
        subprocess.call([""dot"", ""-V""], stdout=subprocess.PIPE, stderr=subprocess.PIPE)
    except OSError:
        print(
            ""The output format '%s' is currently not available.\n""
            ""Please install 'Graphviz' to have other output formats ""
            ""than 'dot' or 'vcg'."" % output_format
        )
        sys.exit(32)",check if we need graphviz for different output format,return available Check if the graphviz is available.,"return subprocess.PIPE, ""Graphviz"" Returns a GraphvizAVAIlable object.",34.533231,13.44932265,23.99127683,,,,,,,,,
"summarize: def unused_import_line_numbers(messages):
    """"""""""""
    for message in messages:
        if isinstance(message, pyflakes.messages.UnusedImport):
            yield message.lineno",Yield line numbers of unused imports.,", message.unused Encodes the Import Touch",else: yield message.lineno Make any messages and Unimports importing the Maybe.,28.28287467,19.62637353,23.9546241,,,,,,,,,
"summarize: def cat(self, i1, i2, format='html'):
        """"""
        """"""
        from IPython import display
        if format == 'html':
            output = self._as_html_table(i1, i2)
            display.display(display.HTML(output))
        else:
            output = self._as_table(i1, i2, format=format)
            print(output)",Display the DataFrame from row i1 till i2,Writes the IPython ip to a display ip.,return output Catalogue to create a list of displayed images from the provided images.,28.58670576,19.28949927,23.93810252,,,,,,,,,
"summarize: def _get_front_ids_one_at_a_time(onset_fronts):
    """"""
    
    """"""
    yielded_so_far = set()
    for row in onset_fronts:
        for id in row:
            if id != 0 and id not in yielded_so_far:
                yield id
                yielded_so_far.add(id)","Yields one onset front ID at a time until they are gone. All the onset fronts from a  frequency channel are yielded, then all of the next channel's, etc., though one at a time.","summarize: def _get_front_ids_one_at_a_time(onset_fronts): """""" """""" yielded_so_far = set() for row in onset_fronts: for id in row: if id!= 0 and id not in yielded_so_far: yield id yielded_so_far.add(id) yield id Get all of the fronts and return their set of the ones only to find their appropriate order.","summarize: def _get_front_ids_one_at_a_time(onset_fronts): """""" """""" yielded_so_far = set() for row in onset_fronts: for id in row: if id!= 0 and id not in yielded_so_far: yield id yielded_so_far.add(id) yield id Returns the front any front any elements of the given ones.",24.15373822,23.70416767,23.92895295,,,,,,,,,
"summarize: def numeric_date(dt=None):
    """"""
    

    """"""
    if dt is None:
        dt = datetime.datetime.now()

    try:
        res = dt.year + dt.timetuple().tm_yday / 365.25
    except:
        res = None

    return res","Convert datetime object to the numeric date.  The numeric date format is YYYY.F, where F is the fraction of the year passed",Gets the numeric date from the given date to the given date.,"This method u"""""" if res is None else dt.year Get the datetime information.",24.39832478,23.33627166,23.86729822,,,,,,,,,
"summarize: def transform(line, known_fields=ENRICHED_EVENT_FIELD_TYPES, add_geolocation_data=True):
    """"""
    
    """"""
    return jsonify_good_event(line.split('\t'), known_fields, add_geolocation_data)",Convert a Snowplow enriched event TSV into a JSON,Transform a transform into a list of Good Events.,Transform the API event to any user-tokens.,25.84267767,21.83293903,23.83780835,,,,,,,,,
"summarize: def detect_logging_level(self, node):
        """"""
        

        """"""
        try:
            if self.get_id_attr(node.func.value) == ""warnings"":
                return None
            # NB: We could also look at the argument signature or the target attribute
            if node.func.attr in LOGGING_LEVELS:
                return node.func.attr
        except AttributeError:
            pass
        return None",Heuristic to decide whether an AST Call is a logging call.,Detect an LoggingLevel Logger attributes.,"Delete a logging level, which are instead of the any default values.",19.37857292,28.26789012,23.82323152,,,,,,,,,
"summarize: def updates(self, offset=None):
        """"""
        """"""
        params = {}

        if offset:
            params[self.OFFSET] = offset

        response = self._call(self.UPDATES_METHOD, params)

        return response",Fetch the messages that a bot can read.,Gets the Messages for the given offset and returns them information,Get the UPDATES and returns the response.,24.82690806,22.78612415,23.80651611,,,,,,,,,
"summarize: def get_app_qt4(*args, **kwargs):
    """"""""""""
    from IPython.external.qt_for_kernel import QtGui
    app = QtGui.QApplication.instance()
    if app is None:
        if not args:
            args = ([''],)
        app = QtGui.QApplication(*args, **kwargs)
    return app",Create a new qt4 app or return an existing one.,Get an application for the given url.,Return a list of application on the application.,18.28217839,29.23218204,23.75718022,,,,,,,,,
"summarize: def sequence(s: Iterable) -> ISeq[Any]:
    """"""""""""
    try:
        i = iter(s)
        return _Sequence(i, next(i))
    except StopIteration:
        return EMPTY",Create a Sequence from Iterable s.,PE_ISO880 return i Sequence only only one sequence.,"PES[""ISEq""] List all empty prices.",23.69305576,23.76056931,23.72681254,,,,,,,,,
"summarize: def pretty_to_link(inst, link):
    '''
    
    '''
    values = ''
    prefix = ''
    metaclass = xtuml.get_metaclass(inst)

    for name, ty in metaclass.attributes:
        if name in link.key_map:
            value = getattr(inst, name)
            value = xtuml.serialize_value(value, ty)
            name = link.key_map[name]
            values += '%s%s=%s' % (prefix, name, value)
            prefix = ', '
                
    return '%s(%s)' % (link.kind, values)",Create a human-readable representation of a link on the 'TO'-side,Returns a list of links that are only accepted links on the given inst.,"Returns a valid link for a root, or the link.",28.44898044,18.9632827,23.70613157,,,,,,,,,
"summarize: def loadByteArray(self, page, returnError):
        """"""""""""
        returnError.contents.value = self.IllegalStateError
        raise NotImplementedError(""You must override this method."")
        return ''",Must be overridden. Must return a string with the loaded data.,Get the data of the given page and return it.,Return the byte about the byte about the page.,28.74910751,18.61373949,23.6814235,,,,,,,,,
"summarize: def DocFileSuite(*paths, **kw):
    """"""
    """"""
    suite = unittest.TestSuite()

    # We do this here so that _normalize_module is called at the right
    # level.  If it were called in DocFileTest, then this function
    # would be the caller and we might guess the package incorrectly.
    if kw.get('module_relative', True):
        kw['package'] = _normalize_module(kw.get('package'))

    for path in paths:
        suite.addTest(DocFileTest(path, **kw))

    return suite",A unittest suite for one or more doctest files.,Parses the first suite and returns a dictionary.,",'suite', kw Returns an item. This is the suite objects.",28.36730555,18.89335945,23.6303325,,,,,,,,,
"summarize: def patch(f):
    ''''''
    name = f.__name__
    Dataset.__hidden__[name] = f
    return f",Adds method f to the Dataset class,Retrieve a patch of the full names.,Datasets the function.,19.05295594,28.16589519,23.60942557,,,,,,,,,
"summarize: def info(self, **kwargs):
        """"""
        
        """"""
        path = self._get_id_path('info')

        response = self._GET(path, kwargs)
        self._set_attrs_to_values(response)
        return response",Get the basic movie information for a specific movie id.,Send an info to the info of the given action,Sets the requested info for the given requested request.,23.79696333,23.28647022,23.54171678,,,,,,,,,
"summarize: def check_response(self, response):
        """"""
        
        """"""
        try:
            response.raise_for_status()
        except requests.exceptions.HTTPError:
            self.log.error(""HTTP error: %s"", response.reason)
            if self.method not in ['GET', 'HEAD']:
                self.log.error(response.text)
            raise AirflowException(str(response.status_code) + "":"" + response.reason)",Checks the status code and raise an AirflowException exception on non 2XX or 3XX    status codes,except requests.exceptions.HTTPError: self.log.error(response.reason) raise GET return response Checks the GET response and returns an ID.,"except requests.exceptions.HTTPError as e: self.log.error(e.response.text) raise ArgumentError(""HTTP response: %s"", response.text) return response.json() Check if there is not already able to an authorized response.",30.33747177,16.72790743,23.5326896,,,,,,,,,
"summarize: def advance_robots(self):
        ''''''

        # move the robots towards the player
        self = lens.robots.Each().call_step_towards(self.player)(self)
        # robots in the same place are crashes
        self = lens.crashes.call_union(duplicates(self.robots))(self)
        # remove crashed robots
        self = lens.robots.modify(lambda r: list(set(r) - self.crashes))(self)

        return self",Produces a new game state in which the robots have advanced    towards the player by one step. Handles the robots crashing into    one another too.,.robots.add_crashed( [c for c in self if self.crashes.crashes.Each().crashes.Open()] ) Add the sorted robots to the given robots,"._register_robots(self.robots, self.robots, self.robots) Moves the robots on the robots.",27.21164122,19.84608651,23.52886387,,,,,,,,,
"summarize: def _buffered_send_metric(self, metric_str):
        """"""""""""

        self.batch_count += 1

        self.batch_buffer += metric_str

        # NOTE(romcheg): Send metrics if the number of metrics in the buffer
        #                has reached the threshold for sending.
        if self.batch_count >= self.batch_size:
            self._send()",Add a metric to the buffer.,return buffered_str Command to the buffered metrics.,if metric_str: self._send(metric_str) else: self._send(metric_str) Create metrics and send metrics of the single Median,37.7964473,9.22869358,23.51257044,,,,,,,,,
"summarize: def prepare(self, **kwargs):
        """"""  """"""
        for k, v in kwargs.items():
            setattr(self, k, v)
        if not self.is_initialized:
            self.initialize()
        if not self.proxy_is_active:
            self.activate_proxy()",Prepare for rendering,Proxy activate activation,self.activate_proxy() if not self.proxy: self.activate_proxy() Return a set of proxy values.,17.59884843,29.21654867,23.40769855,,,,,,,,,
"summarize: def executemany(self, operation, seq_of_parameters):
        """"""
        
        """"""
        for parameters in seq_of_parameters:
            self.execute(operation, parameters)",Execute a BigQuery query multiple times with different parameters.,"self.execute(operation, parameters) return True Execute modified sequence on the given operation.","return self.execute(self.execute(""SEQUEST"", ""Execute""), parameters) Make an execute another sequence of the given operation.",26.61490739,20.17728621,23.3960968,,,,,,,,,
"summarize: def replace(self, **kwargs):
        '''
        
        '''
        data = {
            'model': self._model,
            'filters': self._filters,
            'order_by': self._order_by,
            'limit': self._limit,
            'select': self._select,
        }
        data.update(**kwargs)
        return Query(**data)","Copy the Query object, optionally replacing the filters, order_by, or    limit information on the copy. This is mostly an internal detail that    you can ignore.","summarize: def replace(self, **kwargs): ''' ''' data = { 'model': self._model, 'filters': self._filters, 'order_by': self._order_by, 'limit': self._limit, 'select': self._select, } data.update(**kwargs) return Query(**data) Replaces the query action on the given kwargs","summarize: def replace(self, **kwargs): ''' ''' data = { 'model': self._model, 'filters': self._filters, 'order_by': self._order_by, 'limit': self._limit, 'select': self._select, } data.update(**kwargs) return Query(**data) Returns an object for the part of the ID of the given ID.",23.37233133,23.41377795,23.39305464,,,,,,,,,
"summarize: def _prepare_regex_pattern(self, p):
        """"
        if isinstance(p.pattern, bytes):
            p = re.compile(p.pattern.decode(self.encoding), p.flags)
        return p",Recompile bytes regexes as unicode regexes.,.decode(self.encoding) Prepare regex pattern to a regex pattern.,".replace('%s%s' % (p.pattern, p.pattern)) Returns the Pattern of the pattern.",24.91409705,21.83519336,23.37464521,,,,,,,,,
"summarize: def Alias(name, **metadata):
    """""" 

    """"""

    return Property(lambda obj: getattr(obj, name),
                    lambda obj, val: setattr(obj, name, val),
                    **metadata)",Syntactically concise alias trait but creates a pair of lambda  functions for every alias you declare.,"Alias property for a name, value in iteritems(metadata) Alias property for a lambda object.","Alias and lignments a light-quader. All of the components of the instances of an upper takens, and otherwise returns an alias.",26.64019907,20.03531156,23.33775532,,,,,,,,,
"summarize: def to_archive(self, writer):
        """"""
        
        """"""
        if 'b' not in writer.mode:
            raise GiraffeError(""Archive writer must be in binary mode"")
        writer.write(GIRAFFE_MAGIC)
        writer.write(self.columns.serialize())
        i = 0
        for n, chunk in enumerate(self._fetchall(ROW_ENCODING_RAW), 1):
            writer.write(chunk)
            yield TeradataEncoder.count(chunk)",Writes export archive files in the Giraffez archive format.    This takes a `giraffez.io.Writer` and writes archive chunks to    file until all rows for a given statement have been exhausted.,"yield GiraffeError(""Archive was not in binary mode"") yield GiraffeError(""Archive was not in binary mode"") yield self._fetchall(ROW_ENCODING_RAW, yield GIRAW, writer) Adds a list of all binary models to the given writer.",if chunk in writer: yield chunk else: writer.write(self._fetchall(ROW_ENCODING_RAW)) Writes the one single entrypoint.,29.14643259,17.40829186,23.27736223,,,,,,,,,
"summarize: def total_seconds(td):
    """"""""""""
    if hasattr(td, 'total_seconds'):
        return td.total_seconds()

    ms = td.microseconds
    secs = (td.seconds + td.days * 24 * 3600)
    return (ms + secs * 10**6) / 10**6",Python 2.6 compatability,0 Given the total seconds,.0 Calculate a seconds from the total total seconds.,24.26020486,22.21732561,23.23876524,,,,,,,,,
"summarize: def get_check():
    """"""""""""
    try:
        from invenio.dbquery import run_sql
    except ImportError:
        from invenio.legacy.dbquery import run_sql

    return (
        run_sql('select count(id) from bibdoc', run_on_slave=True)[0][0],
        [id[0] for id in run_sql('select id from bibdoc', run_on_slave=True)],
    )",Get bibdocs to check.,Get the checking bibdoc or a select id to an ``id``.,Returns a run_sql from an agent query with a sql.,28.3157858,18.1597383,23.23776205,,,,,,,,,
"summarize: def compute(self, *x):
        """"""
        
        """"""
        self._compile()
        outs = self._compute(*x)
        if self._output_keys:
            return MapDict(dict(zip(self._output_keys, outs)))
        else:
            return outs",Return network output.,Compute the output dict.,Returns a list of all Mapdual Dicts.,30.12378646,16.34083642,23.23231144,,,,,,,,,
"summarize: def read_latoolscfg():
    """"""
    
    """"""
    config_file = pkgrs.resource_filename('latools', 'latools.cfg')
    cf = configparser.ConfigParser()
    cf.read(config_file)
    return config_file, cf","Reads configuration, returns a ConfigParser object.",Read a latoolscf file and returns the latoolscfg.,g.read(config_file) Read a latool file in another LANGURM_MASPIS.,28.38234002,18.05841138,23.2203757,,,,,,,,,
"summarize: def report(self):
        """"""""""""

        print(
            self.report_message.format(
                service=self.service,
                host=self.host,
                port=self.port,
            )
        )
        sys.stdout.flush()",Report startup info to stdout.,Report the service service,sys.stdout.flush() sys.stdout.flush() Reports a system-form.,24.82118382,21.6083878,23.21478581,,,,,,,,,
"summarize: def _check_preferred_module(self, node, mod_path):
        """"""""""""
        if mod_path in self.preferred_modules:
            self.add_message(
                ""preferred-module"",
                node=node,
                args=(self.preferred_modules[mod_path], mod_path),
            )",check if the module has a preferred replacement,return node Checks the modules of the given node and add them to them in the preferred module.,return True if mod_path in self.preferred_modules: return True return False Returns True if an existing message is preferred in the given node.,28.8051726,17.5238718,23.1645222,,,,,,,,,
"summarize: def discovery_print(pkt):
    """"""
    """"""
    if pkt.src in mac_id_list:
        return
    mac_id_list.append(pkt.src)
    text = pkt_text(pkt)
    click.secho(text, fg='magenta') if 'Amazon' in text else click.echo(text)",Scandevice callback. Register src mac to avoid src repetition.  Print device on screen.,return mac_id_list Print a single prc to its prc to its read on the ``pkt``.,Discovery a package level of possible version of the specified package and possible ID level.,26.20453333,20.09375737,23.14914535,,,,,,,,,
"summarize: def stratified_kfold_column(self, n_folds=3, seed=-1):
        """"""
        
        """"""
        return H2OFrame._expr(
            expr=ExprNode(""stratified_kfold_column"", self, n_folds, seed))._frame()",Build a fold assignment column with the constraint that each fold has the same class    distribution as the fold column.,"Given a direction of the n_folds, return the post-level keys of the IP-plot fold",Returns the list of all fold_folds of the column column column column.,20.62074196,25.63888335,23.12981266,,,,,,,,,
"summarize: def REBINDING(self):
        """"""""""""
        logger.debug('In state: REBINDING')
        self.current_state = STATE_REBINDING
        if self.script is not None:
            self.script.script_init(self.client.lease, self.current_state)
            self.script.script_go()
        else:
            set_net(self.client.lease)",REBINDING state.,self.script = self.current_state.client_current_state self.send(self.client_current_state) Install REBINDING,self.current_state.reset() REBINDING,11.45895803,34.74031739,23.09963771,,,,,,,,,
"summarize: def network_to_pandas_hdf5(network, filename, rm_nodes=None):
    """"""
    

    """"""
    if rm_nodes is not None:
        nodes, edges = remove_nodes(network, rm_nodes)
    else:
        nodes, edges = network.nodes_df, network.edges_df

    with pd.HDFStore(filename, mode='w') as store:
        store['nodes'] = nodes
        store['edges'] = edges

        store['two_way'] = pd.Series([network._twoway])
        store['impedance_names'] = pd.Series(network.impedance_names)",Save a Network's data to a Pandas HDFStore.,return store Helper function to network.,store['rm_nodes'] = store.GetNetworkData(store) return store Pandas nodes are pandas hdf5 files.,25.21060274,20.84338668,23.02699471,,,,,,,,,
"summarize: def valid(self):
        """"""
        
        """"""

        if self.expiration_time:
            return self.expiration_time > int(time.time())
        else:
            return True","``True`` if credentials are valid, ``False`` if expired.",Validates the validation of the expiration time,Determine if any time is the valid value of the current time.,23.93880426,22.04868308,22.99374367,,,,,,,,,
"summarize: def discard(self, it: Signature) -> bool:
        """"""  """"""
        txt = it.internal_name()
        if txt in self._hsig:
            sig = self._hsig[txt]
            if isinstance(sig, Scope):
                sig.state = StateScope.LINKED
            del self._hsig[txt]
            return True
        return False",Remove it only if present,Discard the signature.,Discard any of the HSM states.,18.66316515,27.30375221,22.98345868,,,,,,,,,
"summarize: def make_multi_entry(plist, pkg_pyvers, ver_dict):
    """"""""""""
    for pyver in pkg_pyvers:
        pver = pyver[2] + ""."" + pyver[3:]
        plist.append(""Python {0}: {1}"".format(pver, ops_to_words(ver_dict[pyver])))",Generate Python interpreter version entries.,return plist Multis the Multi-entry for a Python passed in ver_dict.,return pyver Method to check that applies are a single MultiAPI.,23.7474783,22.13103461,22.93925646,,,,,,,,,
"summarize: def enumerate_resonance_smiles(smiles):
    """"""
    """"""
    mol = Chem.MolFromSmiles(smiles)
    #Chem.SanitizeMol(mol)  # MolFromSmiles does Sanitize by default
    mesomers = ResonanceEnumerator().enumerate(mol)
    return {Chem.MolToSmiles(m, isomericSmiles=True) for m in mesomers}","Return a set of resonance forms as SMILES strings, given a SMILES string.",Returns the number of smiles that were the same resonance.,Gets a dictionary of enumerated resonances.,27.00214862,18.80805651,22.90510257,,,,,,,,,
"summarize: def clone(self, url):
        """"""""""""
        return self.execute(""%s branch %s %s"" % (self.executable,
                                                 url, self.path))",Clone repository from url.,Create a new JSON limit.,Create a URL of the project id.,22.10490292,23.67558944,22.89024618,,,,,,,,,
"summarize: def require_setting(self, name, feature=""this feature""):
        """"""""""""
        if name not in self.settings:
            raise Exception(""You must define the '%s' setting in your ""
                            ""application to use %s"" % (name, feature))",Raises an exception if the given app setting is not defined.,self.settings[name] = value Sets a setting to the feature.,"self.setting(name, feature) return self.setting(name, feature) Require the setting on the annotation of the callback.",26.91471586,18.84491043,22.87981315,,,,,,,,,
"summarize: def copy(self):
        """"""""""""
        return Striplog([i.copy() for i in self],
                        order=self.order,
                        source=self.source)",Returns a shallow copy.,Populates a order and returns a list of coordinates.,Gets the current by its stripbacks.,19.82266219,25.8698973,22.84627975,,,,,,,,,
"summarize: def to_python_package(classes, target_folder, parent_package=None, indent=DEFAULT_INDENT):
    '''
    
    '''
    PackageBuilder(target_folder, parent_package, indent).from_classes_with_refs(classes)",This function can be used to build a python package representation of pyschema classes.  One module is created per namespace in a package matching the namespace hierarchy.,"classes.package(target_folder, parent_package, indent) return classes Creates a package from the package builder.",return _to_python_package(classes) Turns a package builder for the package builder.,27.30812508,18.38415587,22.84614048,,,,,,,,,
"summarize: def _convert_boolean_config_value(config, name, default=True):
        """"""

        """"""
        if name not in config:
            config[name] = default
        elif config[name] == ""yes"":
            config[name] = True
        elif config[name] == ""no"":
            config[name] = False
        else:
            raise ValueError(""Error in config file\nInvalid value for %s ""
                             ""parameter\nPossible values: yes, no"" % name)",Convert the named field to bool.,return config Converts the config file to the config file.,return config Get an existing values from a config-type.,23.52464323,22.04239951,22.78352137,,,,,,,,,
"summarize: def default_formatter(error):
    """"""""""""
    quoted = formencode.htmlfill.escape_formatter(error)
    return u'<span class=""error-message"">{0}</span>'.format(quoted)","Escape the error, and wrap it in a span with class ``error-message``",Default `event-message` to be found for the given url,Get a Unicode quoted by ``error`` if a valid ``error``.,23.3781541,22.13086917,22.75451164,,,,,,,,,
"summarize: def restore_context(self) -> bool:
        """"""""""""
        self._cursor.position = self._contexts.pop()
        return False",Rollback to previous saved position.,Restore a role for a given role.,Restore the position of the specified source,17.53728625,27.79300435,22.6651453,,,,,,,,,
"summarize: def to_python(self, data):
        """"""""""""
        if data is not None:
            if hasattr(data, 'open'):
                data.open()
            return super(VersatileImageFormField, self).to_python(data)",Ensure data is prepped properly before handing off to ImageField.,else: return data Convert to python image to a view of images,"else: return super(ApiImageFormForm, self).to_python(data, data) API key field.",23.12142858,22.18295724,22.65219291,,,,,,,,,
"summarize: def basic(username, password):
    """"""""""""
    none()
    _config.username = username
    _config.password = password",Add basic authentication to the requests of the clients.,try: _config.password = password except: _config.password = password _config.password = password return _config.password Add an authentication to the given password.,return _config Returns the basic page of a given username.,18.0592773,27.23225564,22.64576647,,,,,,,,,
"summarize: def groupedby(collection, fn):
    """"""
    
    """"""
    d = {}
    for item in collection:
        k = fn(item)
        try:
            arr = d[k]
        except KeyError:
            arr = []
            d[k] = arr
        arr.append(item)

    yield from d.items()",same like itertools.groupby,return d Grouped by item.,return d Get duplicates of duplicates from the collection,21.84440585,23.43396783,22.63918684,,,,,,,,,
"summarize: def cssselect(self, expr, translator='html'):
        """"""
        
        """"""
        # Do the import here to make the dependency optional.
        from lxml.cssselect import CSSSelector
        return CSSSelector(expr, translator=translator)(self)","Run the CSS expression on this element and its children,    returning a list of the results.",Create a new CSSSelector and return the dependency optional CSSelector.,Returns the import relational based on the application,25.48419841,19.73842457,22.61131149,,,,,,,,,
"summarize: def RegisterFreeformKey(cls, key, name, mean=b""com.apple.iTunes""):
        """"""
        """"""
        atomid = b""----:"" + mean + b"":"" + name

        def getter(tags, key):
            return [s.decode(""utf-8"", ""replace"") for s in tags[atomid]]

        def setter(tags, key, value):
            tags[atomid] = [utf8(v) for v in value]

        def deleter(tags, key):
            del(tags[atomid])

        cls.RegisterKey(key, getter, setter, deleter)",Register a text key.,return deleter Register the Atom against an atom ID.,return deleter Register for a given key and keys.,19.05614126,26.04760668,22.55187397,,,,,,,,,
"summarize: def get(self, log_set):
        """"""
        
        """"""
        response = requests.get(self.base_url + log_set.rstrip('/'))

        if not response.ok:
            raise ServerException(
                '{}: {}'.format(response.status_code, response.text))
        return response.json()",Get a specific log or log set,Returns the action processor.,Returns an element with the given response.,19.88289391,25.20122228,22.5420581,,,,,,,,,
"summarize: def get_thumbnail():
    '''
    '''
    from sregistry.defaults import SREGISTRY_THUMBNAIL
    if SREGISTRY_THUMBNAIL is not None:
        if os.path.exists(SREGISTRY_THUMBNAIL):
            return SREGISTRY_THUMBNAIL
    return ""%s/database/robot.png"" %get_installdir()","return the robot.png thumbnail from the database folder.    if the user has exported a different image, use that instead.",Returns the sregistravity database file for this directory.,Get the robot. The passed robot service is always `SREGISTRY_THUMBNAIL`. Returns the service based on the same robot.,16.26112864,28.79572458,22.52842661,,,,,,,,,
"summarize: def print_usage(self, file=None):
        """"""
        
        """"""
        optparse.OptionParser.print_usage(self, file)
        file.flush()","Outputs usage information to the file if specified, or to the    io_manager's stdout if available, or to sys.stdout.","Print the file to the file and return it as a URL, otherwise the file is the same file with any files that are not provided.","self.connect(file) self.close() self.cache.set_current(file) self.cache_update(file) Write a file, using the file in the file.",23.64238227,21.31800677,22.48019452,,,,,,,,,
"summarize: def _get_ssl(self):
        """"""""""""
        return smtplib.SMTP_SSL(
            self.server, self.port, context=ssl.create_default_context()
        )",Get an SMTP session with SSL.,Gets the ssl to the specified server.,Returns the SMTP server.,15.63454877,29.29190765,22.46322821,,,,,,,,,
"summarize: def shutdown(self, cancel=False, cancel_msg=''):
        """"""
        """"""
        self._shutdown(cancel, cancel, cancel_msg)",Shutdown the TransferManager,Shutdown a new event.,"self._shutdown(cancel, cancel_msg) Sets a cancel on any cancel.",31.99730295,12.90091356,22.44910826,,,,,,,,,
"summarize: def _clean_signal_meta(self):
        """"""
        
        """"""
        self._enclosed_for = None
        self._sensitivity = None
        for stm in self._iter_stms():
            stm._clean_signal_meta()",Clean informations about enclosure for outputs and sensitivity    of this statement,self._sensitivity = stm self._sensitivity = sensitivity return stm Clean the meta of the signal meta.,self._signal_meta_models() Clean meta of the signal meta.,28.81809788,16.03576943,22.42693366,,,,,,,,,
"summarize: def open_graph(self, **args):
        """"""
        """"""
        self._stream.write(""%sgraph:{\n"" % self._indent)
        self._inc_indent()
        self._write_attributes(GRAPH_ATTRS, **args)",open a vcg graph,Opens the given graph.,Load a single GRAM Fields.,32.13439058,12.62994071,22.38216565,,,,,,,,,
"summarize: def add_hook(self, sequence, h):
    """"""""""""
    sequence.parser_tree = parsing.Hook(h.name, h.listparam)
    return True",Create a tree.Hook,Adds a sequence to the hook.,Adds an item to another case.,19.44185723,25.30041599,22.37113661,,,,,,,,,
"summarize: def _api_delete(self, url, **kwargs):
        """"""
        
        """"""
        response = self.session.delete(
            url=url,
            headers=self._get_api_headers(),
            **kwargs
        )
        if not response.ok:
            raise ServerException(
                '{0}: {1}'.format(
                    response.status_code,
                    response.text or response.reason
                ))
        return response",Convenience method for deleting,Retrieve a delete and return a json session,.json() Retrieve a url and return any response.,18.08447455,26.62251553,22.35349504,,,,,,,,,
"summarize: def process_response(self, request, response):
        """"""
        
        """"""
        if hasattr(request, ""session"") and hasattr(request, ""user"") and request.user.is_authenticated():
            msgs = get_messages(request.user)
            if msgs:
                for msg, level in msgs:
                    messages.add_message(request, level, msg)
        return response","Check for messages for this user and, if it exists,    call the messages API with it",Returns the messages of the `request` to the `request`.,Encodes a request and receives the request to the MSG. This is received and the user is level.,22.21724686,22.43207228,22.32465957,,,,,,,,,
"summarize: def In(sigOrVal, iterable):
    """"""
    
    """"""
    res = None
    for i in iterable:
        i = toHVal(i)
        if res is None:
            res = sigOrVal._eq(i)
        else:
            res = res | sigOrVal._eq(i)

    assert res is not None, ""Parameter iterable is empty""
    return res","Hdl convertible in operator, check if any of items  in ""iterable"" equals ""sigOrVal""",Initialize the input signals into a list of iterables.,Returns a sigOrValidDict if the sigOrder is valid or more signals.,25.58718026,19.05216203,22.31967115,,,,,,,,,
"summarize: def enum(*sequential, **named):
    """"""
    
    """"""
    #: build enums from parameter
    enums = dict(zip(sequential, range(len(sequential))), **named)
    enums['map'] = copy.copy(enums)
    #: build reverse mapping
    enums['rmap'] = {}
    for key, value in enums.items():
        if type(value) is int:
            enums['rmap'][value] = key
    return type('Enum', (), enums)",Build an enum statement,Enums enum dataset to enum,Returns the enumerated supplied enums.,27.04657013,17.54843349,22.29750181,,,,,,,,,
"summarize: def tv(self, **kwargs):
        """"""
        
        """"""
        path = self._get_path('tv')

        response = self._GET(path, kwargs)
        self._set_attrs_to_values(response)
        return response",Search for TV shows by title.,This method is only valid.,.text Create an ID to another type.,19.74678246,24.83987672,22.29332959,,,,,,,,,
"summarize: def do_BESTSCORE(self, word):
        """"""""""""
        key = keys.token_key(indexed_string(word)[0])
        for _id, score in DB.zrevrange(key, 0, 20, withscores=True):
            result = Result(_id)
            print(white(result), blue(score), green(result._id))",Return document linked to word with higher score.    BESTSCORE lilas,return result Do BESTSCORE DO BESTSCORE DO BESTSCORE DO BESTSCORE,# add a blue if not self._has_key(score): return return None Do the Generator.,26.68291285,17.73661767,22.20976526,,,,,,,,,
