input,target,gpt_prediction,mixed_model_prediction,gpt_smooth_bleu_score,mixed_model_smooth_bleu_score
generate: Translate SPIDEX annotation to human readable string.,"def spidex_human(variant_obj):
    """"""""""""
    if variant_obj.get('spidex') is None:
        return 'not_reported'
    elif abs(variant_obj['spidex']) < SPIDEX_HUMAN['low']['pos'][1]:
        return 'low'
    elif abs(variant_obj['spidex']) < SPIDEX_HUMAN['medium']['pos'][1]:
        return 'medium'
    else:
        return 'high'","def create_html(self, text): """""""""""" text = self.get_new_text(text) # We assume the same as annotation is assumed. if self.get_new_text(text)!= text: self.sources.append(text) else: self.sources.append(text)","def validate_sps(self, code): """""" """""" url = self._get_url('URL', code) response = self.get_response(url) if response.status_code == 200: self.logger.warning(""The URL is not an iterable."") return False else: raise UnicodeException(""Unicode error: {0}"".format(code)) return True",14.37286463,23.2078761
generate: Refer all _public_ interns from another namespace.,"def __refer_all(cls, refers: lmap.Map, other_ns_interns: lmap.Map) -> lmap.Map:
        """"""""""""
        final_refers = refers
        for entry in other_ns_interns:
            s: sym.Symbol = entry.key
            var: Var = entry.value
            if not var.is_private:
                final_refers = final_refers.assoc(s, var)
        return final_refers","def refer_public_interns(self, public_namespace): """""""""""" self.public_interns = public_namespace.get_public_interns(public_namespace) self.public_interns = public_namespace.get_public_interns(public_namespace) self.public_interns = public_interns","def refer_public_intervals(self, public_intervals): """""" """""" url = self.client.get(""public_intervals"") if url.startswith("".""): url = self._url + ""/public_intervals"" else: url = url return self.client.post(url, params=params, headers=self._headers)",20.0141474,22.33926169
generate: Add run_id into DynamoDB manifest table,"def add_to_manifest(dynamodb_client, table_name, run_id):
    """"""
    """"""
    dynamodb_client.put_item(
        TableName=table_name,
        Item={
            DYNAMODB_RUNID_ATTRIBUTE: {
                'S': run_id
            }
        }
    )","def add_manifest_table(self, run_id, table_name, page_name): """""" """""" if table_name not in self.tables: raise ValueError(""Unexpected table name, '%s'"" % run_id) self.tables[table_name] = table_name",". def add_run_id(self, table): """""" """""" if self.is_valid(): return self._add_run_run(table) elif self.is_valid(): return self._add_run_run(table) else: return self._add_run(table)",38.07529796,25.34892333
generate: Converts the input arg to a list if it is not a list already.,"def _ensure_list(tensor_or_list):
  """"""
  """"""
  if isinstance(tensor_or_list, (list, tuple)):
    return list(tensor_or_list), True
  return [tensor_or_list], False","def get_input(self, arg): """""" """""" arg = self._input_args.get(arg) if arg is not None: return arg.split(arg) else: return []","def _get_input_list(self, input_list): """""" """""" # Check for the MetadataFrame inputs if input_list and input_list: return input_list else: return input_list",25.97143044,40.00764365
"generate: Much like parse.quote in that it returns a URL encoded string  for the given value, protecting the safe characters; but this  version also ensures the value is UTF-8 encoded.","def quote(value, safe='/:'):
    """"""
    
    """"""
    if isinstance(value, six.text_type):
        value = value.encode('utf8')
    elif not isinstance(value, six.string_types):
        value = str(value)
    return parse.quote(value, safe)","def parse(self, value): """""" """""" if isinstance(value, bytes): return value if value.encode('utf-8').strip(): return value.encode('utf-8') else: return value","def _validate_parse(value, encoding): """""" """""" encoding = UTF-8 try: result = encoding.encode(encoding) except UnicodeError: result = encoding.encode('utf-8') return result",49.14907474,30.30963802
generate: This can be called from the main thread to safely stop this thread.,"def stop(self):
        """"""""""""
        self.stop_now = True
        self.history_manager.save_flag.set()
        self.join()","def main(self): """""" """""" if self._main: self.main = main self.main.main.main = main","def stop(self, key, context): """""" """""" if not isinstance(key, basestring): key = self.context.get(key, None) self._stop(key, context) return self._stop(key, None)",35.45606779,27.33794054
generate: Return a summary of the results.,"def result_summary(self, result):
        """"""
        

        """"""

        return ""{} examples, {} errors, {} failures\n"".format(
            result.testsRun, len(result.errors), len(result.failures),
        )","def _get_results(self, results): """""" """""" results = [] for result in results: if results: results.append(result) return results","def get_results(self): """""" """""" if self._is_active: results = [] else: results.append(self._is_active) results.append(self._is_active) return results",40.74171136,35.42432023
"generate: Internal callback for messages that have not been handled by any of the specific internal callbacks, these    messages are not passed on to any user provided callback","def _onUnsupportedMessage(self, client, userdata, message):
        """"""
        
        """"""
        self.logger.warning(
            ""Received messaging on unsupported topic '%s' on topic '%s'"" % (message.payload, message.topic)
        )","s. def callbacks_handled(self, messages, event_messages): """""" """""" # Set the messages that have been called by any of the same handled by any messages # and then use the daemons. self.set_message_message(messages, event_messages)","s. def _process_messages(self, message, message): """""" """""" message.pop('message', None) return message.message",31.25249918,28.20381378
generate: Determine whether two samples differ significantly.,"def is_significant(sample1, sample2):
    """"""
    """"""
    deg_freedom = len(sample1) + len(sample2) - 2
    critical_value = tdist95conf_level(deg_freedom)
    t_score = tscore(sample1, sample2)
    return (abs(t_score) >= critical_value, t_score)","def _is_two_samples_diff(self, two_samples): """""""""""" if two_samples: # If we're given, the samples will find the samples # of the samples if self.samples_diff: return self.samples_diff else: return self.samples_diff else: return False","def plot_samples(self, sigma): """""" """""" # We need to start plott files sample_two_ax.plot(sigma, sigma) return sample_two_ax",27.73938472,18.61546556
generate: Set the revocation timestamp.,"def set_rev_date(self, when):
        """"""
        
        """"""
        dt = _lib.X509_REVOKED_get0_revocationDate(self._revoked)
        return _set_asn1_time(dt, when)","def set_revocation_timestamp(self, timestamp): """""" """""" self.revocation_timestamp = timestamp self.revocation_timestamp = timestamp self.revocation_timestamp = revocation_timestamp","def set_timestamp(self, revocation): """""" """""" if revocation is None: revocation = self._get_revocation(revocation) return self._get_timestamp(revocation)",28.33411427,40.54001627
generate: Can be overridden by a subclass to hook into the matching    of the request.,"def match_request(self):
        """"""
        """"""
        try:
            url_rule, self.request.view_args = \
                self.url_adapter.match(return_rule=True)
            self.request.url_rule = url_rule
        except HTTPException as e:
            self.request.routing_exception = e","def get_subclass_from_subclass(self, url, url=None, headers=None): """""" """""" url = url or ''.join([ self.subclass, 'https://', self.url, self.request, self.request, self.request, self.request, self.request, ] return self.get_subclass_from_url(url, url)","def get_subclass(self): """""" """""" try: return self._get_subclass(self._callback) except AttributeError: # In the subclass is a subclass, which is called # when there is a valid subclass return None",37.1512266,28.20771118
generate: Load a new case from a Scout config.,"def load_scout(adapter, config, ped=None, update=False):
    """"""

    """"""
    log.info(""Check that the panels exists"")
    if not check_panels(adapter, config.get('gene_panels', []),
                        config.get('default_gene_panels')):
        raise ConfigError(""Some panel(s) does not exist in the database"")
    case_obj = adapter.load_case(config, update=update)
    return case_obj","def load_case_from_config(case, config_file): """""" """""" config = load_config(config_file) try: with open(config_file, 'rb') as input_file: for line in input_file: input_file.write(line) return input_file except IOError: raise IOError(""Could not find input file: %s"" % line)","def _load_case_from_scope(self, case_file): """""" """""" if not case_file.endswith('.png', '.png'): raise GraphQLImportError('Could not load case', Loading an any cases.') if case_file.endswith('.png'): case_file.close() return case_file",31.48379628,26.48862153
generate: Create a vector of randomly-initialized values.,"def random_vector(size, mean=0, std=1, rng=None):
    '''
    '''
    if rng is None or isinstance(rng, int):
        rng = np.random.RandomState(rng)
    return (mean + std * rng.randn(size)).astype(FLOAT)","def create_vec(self, vec, random=None): """""" """""" vec = self._vec if random is None: random = random() if vec.size < random: random = random() return random","def _get_vector_values(self): """""""""""" if self._vector is None: return self._vector_values elif self._vector_values is None: return self._vector else: return self._vector_values",32.53614137,21.49669872
generate: Class decorator that makes sure the passed apps are not present in  INSTALLED_APPS.,"def without_apps(*apps):
    """"""
    
    """"""
    apps_list = [a for a in settings.INSTALLED_APPS if a not in apps]
    return override_settings(INSTALLED_APPS=apps_list)","def on_apps_inst_apps(apps_method): """""""""""" @wraps(apps_method) def wrapper(*args): try: return apps_method(*args) except AttributeError: return apps_method(*args) return wrapper","def __create_apps(apps): """""" """""" # We have apps. # This is applies into apps on the service. # This is a valid service. if isinstance(apps, (list, tuple)): apps = service_apps(apps) else: apps = service_apps(apps) return apps",28.36729882,24.81675443
generate: Return potential locations of IACA installation.,"def serach_path():
    """"""""""""
    operating_system = get_os()
    # 1st choice: in ~/.kerncraft/iaca-{}
    # 2nd choice: in package directory / iaca-{}
    return [os.path.expanduser(""~/.kerncraft/iaca/{}/"".format(operating_system)),
            os.path.abspath(os.path.dirname(os.path.realpath(__file__))) + '/iaca/{}/'.format(
                operating_system)]","def get_iam_potential_locations(self, iam_potential_locations=None): """""""""""" # Locations is an installation iam_potential_locations = [] # Implemented from template for template_list = [] for iam_potential_location in self.iam_potential_locations: template_list.append(iam_potential_location) template_list.append(template_list) return template_list","def get_potential_locations(self): """""""""""" potential_locations = self.potential_locations potential_locations = [ potential_locations, potential_locations, potential_locations, potential_locations, potential_locations, ] url = self.get_potential_url(url) if potential_locations: return self.potential_url(url) else: return self.get_potential_locations(url)",17.19045522,13.97967782
generate: Retrive an album with a spotify ID.,"async def get_album(self, spotify_id: str, *, market: str = 'US') -> Album:
        """"""
        """"""
        data = await self.http.album(to_id(spotify_id), market=market)
        return Album(self, data)","def get_album(self, id, descriptor=None): """""" """""" album = id if not id: raise NotImplementedError(""Invalid implemented"") descriptor = self.get_album(id, id) return descriptor.get_album(id)","def get_sotify_album(self, sotify=True, release=False): """""" """""" if not self.is_sotify_album(sotify): return None return None",37.49551396,34.25054799
generate: Check scene name and whether remote file exists. Raises    WrongSceneNameError if the scene name is wrong.,"def validate_sceneInfo(self):
        """"""
        """"""
        if self.sceneInfo.prefix not in self.__satellitesMap:
            raise WrongSceneNameError('USGS Downloader: Prefix of %s (%s) is invalid'
                                      % (self.sceneInfo.name, self.sceneInfo.prefix))","def check_scene_name(self, remote_name): """""" """""" if remote_name not in self.scene_name: raise ValueError(""Cannot check scene name "" + self.scene_name) self.scene_name = remote_name self.scene_name = remote_name","def clean_name(self): """""" """""" if not self.config.get('print_name', None): self.config.get('print_name', None) raise errors.WrongSceneNameError(""Could not clean "" ""file "" + str(self.config)) self.config.update(self.config.get('print_name', None)) self.config.update(self.config)",42.42041373,32.84020498
generate: Read the pure water scattering from a csv formatted file,"def read_pure_water_scattering_from_file(self, file_name):
        """"""
        """"""
        lg.info('Reading water scattering from file')
        try:
            self.b_water = self._read_iop_from_file(file_name)
        except:
            lg.exception('Problem reading file :: ' + file_name)",". def read_scatter_scatter(self, filename, formatter=None): """""" """""" # get the scatter from a JSON-like object pysv_list = [] for line in filename.splitlines(): if line.startswith('.py'): pysv_list.append(line) return pysv_list",". def read_file_path(self, file_name): """""""""""" if not self.file_exists(): raise ValueError('Cannot read filename: {}'.format(file_name)) if not self.file_exists(): raise ValueError('Cannot read file_path: {}'.format(file_name)) self.file_exists()",35.13955245,39.14897901
generate: Calls the frontend handler associated with the message type of the      given message.,"def _dispatch(self, msg):
        """""" 
        """"""
        msg_type = msg['header']['msg_type']
        handler = getattr(self, '_handle_' + msg_type, None)
        if handler:
            handler(msg)","def _calls(self, message): """""" """""" if self.handler is not None: self.handler = handler return self","def frontend_message(self, message): """""" """""" if not message: raise ValueError(""message must be of type'message'"") return message",32.94434424,23.93856694
generate: Resolve a request to a wildcard or regex route handler.,"def _resolve_non_literal_route(self, method, path):
        """"""
        """"""
        for route_dict in (self._wildcard, self._regex):
            if method in route_dict:
                for route in reversed(route_dict[method]):
                    callback_data = route.match(path)
                    if callback_data is not None:
                        return callback_data
        return None","def _resolve_request(self, request, route, timeout=None): """""""""""" route = request.route if timeout is None: timeout = self.timeout self.create_request(request, route, timeout) if route is None: route = request.route return self.resolve_request(request, route, timeout)","def route_request(self, request, method='GET', auth=None, headers=None, include_regex=False): """""" """""" if not auth.is_active: raise ValueError( 'The request to route handler: %s' % auth, headers=auth.headers, headers=headers, ) if request.method!= 'POST': raise ValueError( 'The request is an Handler: %s' % request.method) request.method = auth.get_method(request) self._request(self.url, request, method=method) return request",37.24571262,27.08259387
generate: Prepare sys.path for running the linter checks.,"def fix_import_path(args):
    """"""
    """"""
    orig = list(sys.path)
    changes = []
    for arg in args:
        path = _get_python_path(arg)
        if path in changes:
            continue
        else:
            changes.append(path)
    sys.path[:] = changes + ["".""] + sys.path
    try:
        yield
    finally:
        sys.path[:] = orig","def get_sys_path(self, path): """""" """""" if path.startswith('/'): return self.sys_path_for_range(path, self.path_for_range(path)) else: return self.sys_path_for_range(path, self.path_for_range(path))","def _process_sys_path(self, check_exists): """""" """""" self.set_event_system_exists(check_exists) if self.settings.platform_exists(): self.set_event_system_exists(settings.settings) self.set_event_system_exists(create_handler=self.settings)",30.82209367,19.11128733
generate: get the albums tracks from spotify.,"async def get_tracks(self, *, limit: Optional[int] = 20, offset: Optional[int] = 0) -> List[Track]:
        """"""
        """"""
        data = await self.__client.http.album_tracks(self.id, limit=limit, offset=offset)
        return list(Track(self.__client, item) for item in data['items'])","def get_albums_tracks(self, fb_tracks, tracks, tracks): """""" """""" fb_tracks = [] fb_tracks = [] for fb_track in self.tracks: fb_tracks.append(fb_track) return fb_tracks","def get_all_tracks(self, albums=1): """""" """""" # The some of there is necessary. albums = [albums[0] for album in self.allbums if albums[0]] # The albums are in the supported by added albums = albums[0] for album in albums: albums.append(album) albums = [albums[0] for album in albums if album in albums] return albums",25.29333351,23.27769954
"generate: Delete old prices, leaving just the last.","def prune(symbol: str, all: str):
    """"""  """"""
    app = PriceDbApplication()
    app.logger = logger
    count = 0

    if symbol is not None:
        sec_symbol = SecuritySymbol("""", """")
        sec_symbol.parse(symbol)

        deleted = app.prune(sec_symbol)
        if deleted:
            count = 1
    else:
        count = app.prune_all()

    print(f""Removed {count} old price entries."")","def delete(self, just_dir=None): """""" """""" # check whether there is an empty directory. if self.directory is not None: self.directory.remove(self.directory) else: self.directory.remove(self.directory) if not os.path.exists(just_dir): self.directory.remove(self.directory) else: self.directory.remove(self.directory) self.directory.remove(self.directory) self.directory.remove(self.directory)","def delete_prices(self, url, port): """""" """""" if self.public_url is None: return None # The url is a public_url public_url = self.get_public_url(url, public_url) if self.public_url is None: public_url = self.public_url else: public_url = self.public_url return self.delete_public_url(url, public_url, public_url)",21.55495118,25.14705969
generate: Convert an AST terminal to python source code.,"def _ast_terminal_to_code(self, terminal, **kwargs):
    """"""""""""
    value = _replace(terminal.value)
    if self.use_terminal_shorthand:
      return [value]
    else:
      return [""terminal({})"".format(value)]","def to_python_terminal(terminal, terminal_class): """""" """""" # If the ast terminal is already available, then create a new source code. if terminal_class is None: terminal_class = ""application/create"" super(Terminal, terminal_class) = get_spec(terminal_class) if not super(Terminal, Terminal): return None if terminal_class == Terminal: return None else: return None","def to_dict(self, terminal): """""" """""" if not self._valid_trigger: return None if not self._valid_trigger: return None if not self._valid_trigger: return None else: return self._valid_trigger",26.2954231,35.7572333
generate: Pauses the thread for a specified time.,"def wait(self, time):
        """"""
        """"""
        self._wait = Event()
        return not self._wait.wait(time)","def _wait_for_wait(self, timeout, *args, **kwargs): """""" """""" self._wait_for_wait(timeout, *args, **kwargs) return self._wait_for_wait(timeout, *args, **kwargs)","def flatten(self, timeout=None): """""" """""" if self.timeout is None: return None return self.timeout(timeout=timeout)",39.31204839,40.08160966
"generate: Returns the offsets values of x, y, z as a numpy array","def offsets(self):
        """""" 
        """"""
        return np.array([self.x_offset, self.y_offset, self.z_offset])",". def x_offsets(self): """""" """""" return [x.x for x in self._x_offsets if x.y <= self.x_offsets]",". def _get_offsets(self, offsets): """""" """""" if len(self._offsets) == 1: return self._offsets[0] else: return self._offsets[0]",62.20160046,48.55044373
generate: Coroutine starting point. Produces text stream and forwards to consumers,"def source(target, inputstream=sys.stdin):
    """"""
    
    """"""
    for line in inputstream:

        while len(line) > 600:
            init, sep, line = line.partition(' ')
            assert len(init) <= 600
            target.send(''.join([init, sep]))

        target.send(line)

    inputstream.close()

    return target.close()",". def coroutine_stream(self, function, spec, function, reference, link, link): """""" """""" try: function_str = self._gen_function(function, spec, function, link) except ValueError: raise ModelError( 'Could not coroutine starting point form installed.' ) return self._gen_function(function_str, link, link, link)",". def _get_stream_point(self, point): """""" """""" start_stream = self._stream_pointer.get_stream_point(pointer) if start_stream.is_pointer(): start_stream = self._stream_pointer.get_stream_point(pointer) if start_stream: return start_stream else: return start_stream",24.29782942,25.32607342
generate: Export the Bazaar repository at the url to the destination location,"def export(self, location):
        """"""
        
        """"""
        temp_dir = tempfile.mkdtemp('-export', 'pip-')
        self.unpack(temp_dir)
        if os.path.exists(location):
            # Remove the location to make sure Bazaar can export it correctly
            rmtree(location)
        try:
            self.run_command(['export', location], cwd=temp_dir,
                             show_stdout=False)
        finally:
            rmtree(temp_dir)",". def export_batch_content_location(self, url, repository=None): """""" """""" content = self.get_content_location(url) if content is None: content = self.get_content_location(url) return self.export_batch_content_location(url, repository=repository)",". def _export_repository(self, url, password): """""" """""" if not self._supported_repository_destination(): raise RuntimeError( 'Unable to export repository: %s' % self._name, password ) url = self._get_url('/repository', url) self._supported_repository_destination_repository(url, password) self._support_repository(url, password)",28.93973861,27.16409929
generate: Toggle between the currently active color scheme and NoColor.,"def color_toggle(self):
        """"""""""""

        if self.color_scheme_table.active_scheme_name == 'NoColor':
            self.color_scheme_table.set_active_scheme(self.old_scheme)
            self.Colors = self.color_scheme_table.active_colors
        else:
            self.old_scheme = self.color_scheme_table.active_scheme_name
            self.color_scheme_table.set_active_scheme('NoColor')
            self.Colors = self.color_scheme_table.active_colors","def active_color_scheme_and_active(self, class_name, other_color_scheme_and_active=False): """""" """""" self.active_color_scheme_and_active = class_name self.active_color_scheme_and_active = class_name self.active_color_scheme_and_active = other_color_scheme_and_active","def tag_color(self, color, no_color): """""" """""" if self.frame.is_valid(): self.scheme = no_color self.color_color = no_color self.scheme = no_color self.new_color = no_color self.scheme = no_color self.frame.scheme = self.scheme self.scheme = no_color self.scheme = no_color self.scheme = no_color",40.56425484,42.13406058
"generate: Query for if date_field is within number of ""days"" ago.","def get_date_greater_query(days, date_field):
    """"""
    
    """"""
    query = None
    days = get_integer(days)
    if days:
        past = get_days_ago(days)
        query = Q(**{""%s__gte"" % date_field: past.isoformat()})
    return query","def get_days(self, query_field, date_field=None): """""" """""" if date_field is None: date_field = self.get_days(query_field) date_field = self.get_days(query_field, date_field) return self.get_days(query_field, date_field)","def validate_field_values(self, query_params): """""" """""" if query_params.get('date_fields'): if query_params.get('date_fields'): return self.date_fields[query_params.get('date_fields')] else: return self.date_fields",45.78172362,35.3640701
generate: Find out BAI file by extension given the BAM file.,"def find_bai_file(bam_file):
    """"""""""""
    bai_file = bam_file.replace('.bam', '.bai')
    if not os.path.exists(bai_file):
        # try the other convention
        bai_file = ""{}.bai"".format(bam_file)
    return bai_file","def find_bam_file(self, filename, local_bam_filename=None): """""" """""" # Find out BAI file bam_filename = self.bam_filename if bam_filename == '': return bam_filename else: return None","def find_baifile(self, baifile): """""""""""" baifile_file = os.path.join(self.filename, 'baifile_file', baifile) if os.path.exists(baifile_file): return baifile_file else: raise ValueError(""Baifile not found"")",42.72852708,52.29205688
generate: Handles the user attempting to exit Godot.,"def on_exit(self, info):
        """""" 
        """"""
        if self.prompt_on_exit:# and (not is_ok):
            retval = confirm(parent  = info.ui.control,
                             message = ""Exit Godot?"",
                             title   = ""Confirm exit"",
                             default = YES)
            if retval == YES:
                self._on_close( info )
        else:
            self._on_close( info )","def validate_godot(self, godot): """""" """""" # Set the user if godot.get_user_attribute(godot): return self.godot_attribute_attribute(godot) else: return self.godot_attribute","def exit(self, key=None, user_name=None): """""" """""" if key is None: key = '{}.{}'.format(key) if user_name is None: user_name = user_name if user_name is None: user_name = user_name else: user_name = user_name self.exit(key)",21.34642262,25.85781071
generate: Return a response with a list of jsonapi data objects,"def make_data_response(data, status=200):
    ''' 
    '''
    content = {'data': ensurelist(data)}
    return make_response(jsonify(content), status)",". def response_by_request(self, request, single_data): """""""""""" response = self._get_request(single_data) if response.json: if response.json: return response.json() return None",". def _get_response(self, response): """""" """""" response = self._get_response(response) response.raise_for_status() return response",26.53453113,30.51202584
generate: Patch a method onto an object if it isn't already there.,"def patch_if_missing(obj, name, method):
    """"""
    
    """"""
    setattr(obj, name, getattr(obj, name, method))","def catch_method(self, obj): """""""""""" if obj.get_id() == obj.get_id(): return obj.get_id() return obj","def patch_method_list(self, method, source_file): """""""""""" method_list = self._method_list[method] method_list.add(method, source_file) return method_list",26.98127547,23.62857878
generate: Prepare for rendering,"def prepare(self, **kwargs):
        """"""  """"""
        for k, v in kwargs.items():
            setattr(self, k, v)
        if not self.is_initialized:
            self.initialize()
        if not self.proxy_is_active:
            self.activate_proxy()","templates. def prepare_templates(self, templates): """""" """""" self.templates = templates self.templates = templates self.render = self.render self.clear()","instance. def render_instance(self, request): """""""""""" if not request.is_active: return None if self.active: return self._active_instance(request) self._active_instance(request) return self._active_instance(request)",31.43400959,33.61099844
generate: Cancel a task,"def cancel(self):
        """"""  """"""
        _status = self.status
        self.status = ""canceled""
        try:
            self.save()
        except:
            # Reset status to what it was before
            # status update failure
            self.status = _status
            raise","to loop with the task to this task. def cancel_task(self): """""" """""" self.task = self.task self.task_stop() self.task_stop()",". def cancel(self, task_id, disk_id): """""" """""" if self.is_execution(task_id): self._add_token(task_id) else: self._add_token(task_id, disk_id) self._add_token(task_id, disk_id, disk_id)",28.63400596,29.63680449
generate: Send a Tensor Event to Riemann,"def sendEvents(self, events):
        """"""""""""
        self.pressure += 1
        self.sendString(self.encodeMessage(events))","er VID def create_tensor(self, tensor): """""" """""" self.tensor = tensor self.tensor = tensor","er. def random_error(self, event): """""" """""" self._connection.put(event)",31.14233464,32.37735521
generate: Set the passphrase callback. This function will be called    when a private key with a passphrase is loaded.,"def set_passwd_cb(self, callback, userdata=None):
        """"""
        
        """"""
        if not callable(callback):
            raise TypeError(""callback must be callable"")

        self._passphrase_helper = self._wrap_callback(callback)
        self._passphrase_callback = self._passphrase_helper.callback
        _lib.SSL_CTX_set_default_passwd_cb(
            self._context, self._passphrase_callback)
        self._passphrase_userdata = userdata","def set_passphrase_callback(self, passphrase_callback): """""" """""" callback = self.set_passphrase_callback(passphrase_callback) if callback is not None: callback = self.set_passphrase_callback(passphrase_callback) if not callback is not None: raise StatementError('No passphrase callback') if not self.passphrase_callback(passphrase_callback): raise StatementError('No passphrase callback') self.set_passphrase_callback(passphrase_callback) return self","def callback(self, key, passphrase, passphrase, offset=None): """""" """""" if not key.startswith(""callback""): raise ValueError(""Please set the passphrase callback"") if self._callback: raise ValueError(""Please set the callback"") self._callback(key, passphrase, passphrase, offset) self._callback(key, passphrase)",49.75505968,50.7676486
generate: Return the length of the indentation on the given token's line.,"def _get_indent_length(line):
    """"""""""""
    result = 0
    for char in line:
        if char == "" "":
            result += 1
        elif char == ""\t"":
            result += _TAB_LENGTH
        else:
            break
    return result","def _indentation(self, lineno, token): """""""""""" if token == ""tuple"": return self.tuple elif token == ""indentation"": return self.tuple else: return self.tuple","def match_token(self, line): """""" """""" if self.is_relative: return self.match_token_length(line) else: return self.match_token(line)",37.56751085,32.6512065
"generate: For bold, italics and underline. Simply checking to see if the various tags  are present will not suffice. If the tag is present and set to False then  the style should not be present.","def style_is_false(style):
    """"""
    
    """"""
    if style is None:
        return False
    w_namespace = get_namespace(style, 'w')
    return style.get('%sval' % w_namespace) != 'false'","def set_various_table(table, table): """""" """""" if table in table: table = table.get(table) if table in ['-', '-']: table.pop(table) if table in ['-', '-']: table.pop(table) return table","The user is first. def _find_tag(tag, various, user, password, user_name, various): """""" """""" if various.tag =='modified': return create_tag(tag, various) else: raise ValueError(""Various tags is a user, or less than one."")",28.56080745,21.44492211
generate: The name of the application. This is usually the import name    with the difference that it's guessed from the run file if the    import name is main. This name is used as a display name when    Flask needs the name of the application. It can be set and overridden    to change the value.,"def name(self):
        """"""
        """"""
        if self.import_name == '__main__':
            fn = getattr(sys.modules['__main__'], '__file__', None)
            if fn is None:
                return '__main__'
            return os.path.splitext(os.path.basename(fn))[0]
        return self.import_name","It will be added. If the value is then can be a difference this. def get_application(self): """""" """""" if self.application is None: raise FlaskNegotiationError('No available.') return self.application","def _get_application(self, application): """""" """""" application_name = application.name if self._is_api_config: if self._is_api_config: return self._get_application(api_name) else: return None",32.026681,34.59180185
generate: Set local cookies by initialising the delivery system on the remote.    Requires a store ID and a delivery postcode.,"def set_delivery_system(self, store, postcode, fulfilment_method=FULFILMENT_METHOD.DELIVERY):
        '''
        
        '''
        method = 'delivery' if fulfilment_method == FULFILMENT_METHOD.DELIVERY else 'collection'

        params = {
            'fulfilmentMethod': method,
            'postcode': postcode,
            'storeid': store.store_id
        }

        return self.__post('/Journey/Initialize', json=params)","def get_local_cookies(self, cookies): """""" """""" # FIXME: We have any posteriority. # Avoid the cookies. We have the other cookies, we # avoid the initial cookies are required. cookies = self.cookies for cookies in cookies: cookies = cookies.pop('cookies', []) cookies.append(cookies) return cookies","def set_postcode(self): """""" """""" if self._delivery_system == '': self._delivery_system = self._delivery_system self._delivery_system = self._delivery_system self._delivery_system = self._delivery_system else: self._delivery_system = self._delivery_system self._delivery_system = self._delivery_system self._delivery_system = self._delivery_system return self._delivery_system",16.62791898,22.84631667
generate: Load java messages that can be ignored pickle file into a dict structure g_ok_java_messages.,"def load_dict():
    """"""
    
    """"""
    global g_load_java_message_filename
    global g_ok_java_messages

    if os.path.isfile(g_load_java_message_filename):
            # only load dict from file if it exists.
        with open(g_load_java_message_filename,'rb') as ofile:
            g_ok_java_messages = pickle.load(ofile)
    else:   # no previous java messages to be excluded are found
        g_ok_java_messages[""general""] = []","def _load_java_messages(self, file_messages, sava_messages, java_messages, java_messages, java_messages, java_messages): """""" """""" for java_message in file_messages: if not java_message: self.load_java_message(java_message, file_message, java_message) else: self.load_java_message(java_message, java_message)","def java_messages(self, java_messages, file_path=None): """""" """""" java_messages = { 'messages': java_messages, 'file_path': file_path, 'file_path': file_path, } self.read_java_messages(java_messages, java_messages, java_messages) return self.read_java_messages(java_messages, java_messages, java_messages)",39.22971382,36.52103598
generate: Retrieves the number of members of the organization.,"def get_mems_of_org(self):
        """"""
        
        """"""
        print 'Getting members.'
        counter = 0
        for member in self.org_retrieved.iter_members():
            self.members_json[member.id] = member.to_json()
            counter += 1
        return counter","def get_members_by_options(self): """""" """""" members_by_options = self.get_members_by_options(self.options) return self.get_members_by_options(self.options)","def get_members(self): """""" """""" if self.has_active_members(self.active_members): return self.active_members(self.active_members) else: return self.active_members(self.active_members)",37.50465152,42.44264444
generate: Sets up HTTP connector and starts queue timer,"def createClient(self):
        """"""
        """"""

        server = self.config.get('server', 'localhost')
        port = int(self.config.get('port', 9200))

        self.client = elasticsearch.ElasticSearch(self.url, self.user,
            self.password, self.index)

        self.t.start(self.inter)","def setup(self, url, start_timeout=None): """""" """""" if self.queue: url = self.queue.get(url) self.queue.set(url) self.queue.set(url, start_timeout) self.queue.set(self.queue) else: self.queue.set(self.queue) self.queue.set(self.queue) self.queue.set(self.queue) self.queue.set(self.queue)",". def set_handler(self, port): """""" """""" if not self.is_client(): return None if self.client: return self.client self.client = port self.client = client self.client = client self.client = self.client return self",31.27117283,38.87973995
